IDENTIFIER,time,system,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Man5GlcNAc_IV,1242.24,Matsuura,11.963699607693597,-2.2928774427976615,11.963699607693597,0.7629521883962938,0.06431037030061389,1031.9140000000016,966.394000000001,1031.3540543000008,408,0,0.216856451555084,-0.39356651509080404,0.39356651509080404,0.216856451555084,0.37142857142857144,0.7428571428571429,1.2428571428571429,1.2898724092194545,1625.947403282858,51.62578040623625,36.95918656287357,36.95918656287357,33.11233863641877,22.126634912055025,22.126634912055025,17.53273011973974,17.53273011973974,12.817224423789398,12.817224423789398,8.78477200436693,8.78477200436693,-1.7300000000000009,731258349038801.0,57.546693501820585,24.743064241424666,12.017935841609777,395.2579454392804,154.44630159778038,146.4330677473589,37.740160376011275,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,39.641291787077506,153.92405017784586,5.907179729351506,0.0,5.316788604006331,0.0,191.09696532306077,39.641291787077506,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,326.7457201417728,56.90002967587236,0.0,6.923737199690624,0.0,0.0,0.0,0.0,515.0000000000002,229.72169963979917,101.81855768604525,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,5.316788604006331,52.10549249180054,62.024406831345495,0.0,11.963699607693597,204.24663173378326,0.0,-0.7629521883962938,-1.6250019062718193,-56.48053357314491,-4.699583838342615,0.0,0.9736842105263158,70,20,32,0,6,6,0,0,0,31,20,32,17,0,6,6,6,-13.956600000000039,210.75089999999975,0,19,19,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man5GlcNAc_V,1183.08,Matsuura,11.898016180783733,-2.2039830503356246,11.898016180783733,0.7461713338221061,0.06431037030061389,1031.9140000000016,966.394000000001,1031.3540543000008,408,0,0.216856451555084,-0.39356651509080404,0.39356651509080404,0.216856451555084,0.37142857142857144,0.7428571428571429,1.2428571428571429,1.2445914869084833,1625.947403282858,51.62578040623625,36.95918656287357,36.95918656287357,33.11233863641877,22.126634912055025,22.126634912055025,17.53273011973974,17.53273011973974,12.817224423789398,12.817224423789398,8.78477200436693,8.78477200436693,-1.7300000000000009,731260768133728.8,57.546693501820585,24.743064241424666,12.017935841609777,395.2579454392804,154.44630159778038,146.4330677473589,37.740160376011275,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.923737199690624,39.641291787077506,153.92405017784586,5.907179729351506,0.0,5.316788604006331,0.0,191.09696532306077,39.641291787077506,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,326.7457201417728,56.90002967587236,0.0,6.923737199690624,0.0,0.0,0.0,0.0,515.0000000000002,229.72169963979917,101.81855768604525,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,5.316788604006331,52.10549249180054,61.88840749036629,0.0,11.898016180783733,204.04043334398747,0.0,-0.7461713338221061,-1.5941892386257706,-56.15056820280646,-4.669261573216533,0.0,0.9736842105263158,70,20,32,0,6,6,0,0,0,31,20,32,17,0,6,6,6,-13.956600000000039,210.75089999999975,0,19,19,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlcNAcMan4GlcNAcManGlcNAc2,1855.26,Matsuura,13.188006659875686,-2.694332791583527,13.188006659875686,0.6761083687319582,0.024422301352094222,1641.4960000000021,1536.6640000000007,1640.5921718479976,648,0,0.18714047982095786,-0.4967849155531694,0.4967849155531694,0.18714047982095786,0.22321428571428573,0.5089285714285714,0.9732142857142857,1.1729259880805016,3017.8681464333217,82.50336662588816,60.042992733596364,60.042992733596364,52.96502069996529,35.47688153457605,35.47688153457605,27.965068509891907,27.965068509891907,20.07543225695233,20.07543225695233,14.145776473446602,14.145776473446602,-3.8000000000000016,3.652035175926893e+31,92.08832536934067,40.30399010075259,20.370889371263612,633.4925772830013,228.61596466498145,219.4942877245375,80.20122194144734,0.0,0.0,0.0,0.0,19.969618930542676,0.0,0.0,0.0,0.0,27.694948798762496,59.46193768061625,228.61596466498145,23.590981377430445,0.0,0.0,19.969618930542676,303.7994770873171,59.46193768061625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.24674179698235,80.52667021460084,0.0,27.694948798762496,19.969618930542676,0.0,0.0,0.0,793.0200000000006,359.1574473466013,148.0892944503805,0.0,0.0,0.0,27.694948798762496,0.0,0.0,0.0,19.969618930542676,80.52667021460084,102.24799848970363,0.0,15.609410243443538,320.74110956099946,0.0,-3.1546722581302307,-7.747568856716376,-88.01688144381319,-6.012729068820177,0.0,0.9354838709677419,112,29,50,0,9,9,0,0,0,46,29,50,29,0,9,9,9,-16.691400000000005,351.1292000000002,0,29,29,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GalGlcNAc2Man3GlcNAcFucGlcNAc_I,1770.12,Matsuura,12.588289103767412,-2.544936163621128,12.588289103767412,0.6982328872275712,0.02554545181129856,1625.4970000000021,1520.6650000000006,1624.5972572279977,642,0,0.1871402299892101,-0.4967849155531694,0.4967849155531694,0.1871402299892101,0.24324324324324326,0.5495495495495496,1.018018018018018,1.0518488435459779,3000.512200862966,81.79625984470161,59.88867235690986,59.88867235690986,52.4270158975045,35.32975574728498,35.32975574728498,27.94916099072352,27.94916099072352,20.037570760450453,20.037570760450453,14.081548741407373,14.081548741407373,-3.7600000000000016,1.9101761267943657e+30,91.1436528327583,39.66264814172816,20.338902134795525,628.6983435308053,223.50943727014075,213.39032133678919,80.20122194144734,0.0,0.0,0.0,0.0,19.969618930542676,0.0,0.0,0.0,6.923737199690624,27.694948798762496,58.95902210385164,223.50943727014075,23.590981377430445,0.0,0.0,19.969618930542676,310.7232142870077,52.85505571610334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.53333243762876,80.52667021460084,0.0,34.61868599845312,19.969618930542676,0.0,0.0,0.0,772.7900000000005,352.55056538208845,142.9827670555398,0.0,0.0,0.0,27.694948798762496,6.923737199690624,0.0,0.0,19.969618930542676,80.52667021460084,100.85917940495435,0.0,15.679917646464762,308.54120286925485,0.0,-3.074079835031644,-7.627464592335508,-83.13573232833028,-3.0763564983099014,0.0,0.9354838709677419,111,28,49,0,9,9,0,0,0,45,28,49,28,0,9,9,9,-15.663800000000009,349.71740000000017,0,28,28,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GalGlcNAcMan3GlcNAc2_II,1453.08,Matsuura,12.228908862415622,-2.4107838214896082,12.228908862415622,0.6142217452779268,0.0353480594167074,1276.1610000000016,1194.5130000000008,1275.459975912,504,0,0.187140229989245,-0.4967849155531694,0.4967849155531694,0.187140229989245,0.28735632183908044,0.6091954022988506,1.0574712643678161,1.2020540983531456,2218.8979156478613,64.20276619649637,46.591788148971865,46.591788148971865,41.13641444187185,27.500691519365724,27.500691519365724,21.63333708474914,21.63333708474914,15.53266558679568,15.53266558679568,10.935755338159765,10.935755338159765,-2.910000000000001,1.9486077782327833e+19,71.53007766385389,31.141282104046855,15.777467274458497,492.28014407144394,179.02934848073699,170.72468218115142,61.723423138419314,0.0,0.0,0.0,0.0,14.977214197907006,0.0,0.0,0.0,0.0,20.771211599071872,46.24817375159042,179.02934848073699,17.693236033072836,0.0,0.0,14.977214197907006,235.52608088556974,46.24817375159042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.1464091524979,61.57921839940064,0.0,20.771211599071872,14.977214197907006,0.0,0.0,0.0,622.3600000000004,278.6962790711612,117.45013008133627,0.0,0.0,0.0,20.771211599071872,0.0,0.0,0.0,14.977214197907006,61.57921839940064,75.57056813704506,0.0,11.65108377141866,248.13835859298362,0.0,-2.1315563800528174,-5.429928711607624,-63.32081967997145,-3.8110390631488342,0.0,0.9375,87,23,39,0,7,7,0,0,0,36,23,39,22,0,7,7,7,-13.32390000000005,272.3433999999993,0,23,23,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GalGlcNAc2Man3GlcNAc2_II,1621.38,Matsuura,12.50187850659281,-2.514801958204215,12.50187850659281,0.6416365001606403,0.028242006903111815,1479.3550000000018,1384.6030000000007,1478.5393484279984,584,0,0.187140229989245,-0.4967849155531694,0.4967849155531694,0.187140229989245,0.24752475247524752,0.5346534653465347,0.9603960396039604,1.1476450456037433,2685.5317410746798,74.49529493638039,54.29099723903411,54.29099723903411,47.76664339720764,31.96492132575608,31.96492132575608,25.117032690490102,25.117032690490102,17.98436608130388,17.98436608130388,12.753555314692498,12.753555314692498,-3.6000000000000014,1.1279166041376948e+25,83.0447204239515,36.33053174520356,18.515251881796214,571.6989640345496,203.82265657285924,195.07842217354428,73.91119521211213,0.0,0.0,0.0,0.0,19.969618930542676,0.0,0.0,0.0,0.0,27.694948798762496,52.85505571610334,203.82265657285924,23.590981377430445,0.0,0.0,19.969618930542676,273.09358480698853,52.85505571610334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.6143853676188,71.05294430700073,0.0,27.694948798762496,19.969618930542676,0.0,0.0,0.0,713.8700000000005,321.84467310175995,132.7697122658584,0.0,0.0,0.0,27.694948798762496,0.0,0.0,0.0,19.969618930542676,71.05294430700073,88.65182066858397,0.0,15.541266065898707,284.32674599184963,0.0,-2.9370713254400105,-7.3709607098436525,-73.43612388190712,-4.2756768091415776,0.0,0.9285714285714286,101,26,45,0,8,8,0,0,0,41,26,45,26,0,8,8,8,-14.515600000000026,318.4957999999995,0,26,26,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man4GlcNAc2_II,1170.66,Matsuura,11.891697323993778,-2.262811539233451,11.891697323993778,0.5891887046338431,0.04475874951834558,1072.9670000000015,1004.4230000000011,1072.380603396001,424,0,0.1867446668102115,-0.4967849155531694,0.4967849155531694,0.1867446668102115,0.3424657534246575,0.684931506849315,1.1643835616438356,1.2662434967383533,1767.258551694207,53.91023745661242,38.89257905890959,38.89257905890959,34.506185486536104,23.036461712975356,23.036461712975356,18.149641479008153,18.149641479008153,13.082144327978794,13.082144327978794,9.11049916424429,9.11049916424429,-2.220000000000001,2692215932540000.0,60.01548037856804,25.953212793216345,13.042257603227837,412.8613241083381,154.23604038861475,146.37094218875856,49.535651064726494,0.0,0.0,0.0,0.0,9.984809465271338,0.0,0.0,0.0,0.0,13.847474399381248,39.641291787077506,154.23604038861475,11.795490688715223,0.0,0.0,9.984809465271338,197.95857696415106,39.641291787077506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.6784329373769,52.10549249180054,0.0,13.847474399381248,9.984809465271338,0.0,0.0,0.0,530.8500000000003,235.54788504056253,102.13054789681414,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,9.984809465271338,52.10549249180054,62.46969565088272,0.0,7.679656978208067,212.34791343418456,0.0,-1.2960532020786912,-3.405477663912912,-53.475010919501045,-3.4873909444494022,0.0,0.95,73,20,33,0,6,6,0,0,0,31,20,33,18,0,6,6,6,-12.132200000000038,226.19099999999972,0,20,20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlcNAcMan3GlcNAc2_I,1087.5,Matsuura,11.955995315264818,-2.2830286219959053,11.955995315264818,0.5930570676520726,0.04217729957452234,1114.0200000000013,1042.452000000001,1113.4071524920007,440,0,0.18674466681023055,-0.4967849155531694,0.4967849155531694,0.18674466681023055,0.32894736842105265,0.6973684210526315,1.2236842105263157,1.3088062911374123,1900.787012543662,56.19469450698859,40.83979265440956,40.83979265440956,35.900032336653446,23.983675308475313,23.983675308475313,18.825954519381696,18.825954519381696,13.420752466664595,13.420752466664595,9.44710706059134,9.44710706059134,-2.710000000000001,9921625162615082.0,62.48684322126153,27.167564895261517,13.708907420362351,430.48653082299154,154.23604038861475,146.30881663015822,55.433396409084104,0.0,0.0,0.0,0.0,14.977214197907006,0.0,0.0,0.0,0.0,20.771211599071872,39.641291787077506,154.23604038861475,17.693236033072836,0.0,0.0,14.977214197907006,204.82018860524133,39.641291787077506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.5140527231342,52.10549249180054,0.0,20.771211599071872,14.977214197907006,0.0,0.0,0.0,543.2100000000003,241.3835048263198,102.13054789681414,0.0,0.0,0.0,20.771211599071872,0.0,0.0,0.0,14.977214197907006,52.10549249180054,63.63272437432884,0.0,11.519785205160836,213.5009336333173,0.0,-1.9490950145823749,-5.102930776811606,-51.650732613248245,-2.450684808164732,0.0,0.9285714285714286,76,20,34,0,6,6,0,0,0,31,20,34,19,0,6,6,6,-11.148100000000037,239.70999999999967,0,20,20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlcNAc2Man3GlcNAcFucGlcNAc,1460.34,Matsuura,12.479951658632032,-2.492308284040626,12.479951658632032,0.6806631943345527,0.029807875629254407,1463.3560000000018,1368.6040000000007,1462.5444338079985,578,0,0.1871402299892101,-0.4967849155531694,0.4967849155531694,0.1871402299892101,0.27,0.61,1.08,1.143144114831152,2668.4409561021093,73.78818815519384,54.1366768623476,54.1366768623476,47.19063379228607,31.81273953639462,31.81273953639462,25.141778425356094,25.141778425356094,17.925657640319336,17.925657640319336,12.593588498572894,12.593588498572894,-3.5600000000000014,3.1608167054765427e+25,82.09959964087665,35.68804859303694,18.270441936161244,566.9047302823536,198.71612917801852,188.97445578579598,73.91119521211213,0.0,0.0,0.0,0.0,19.969618930542676,0.0,0.0,0.0,6.923737199690624,27.694948798762496,52.35214013933872,198.71612917801852,23.590981377430445,0.0,0.0,19.969618930542676,280.01732200667914,46.24817375159042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.9009760082652,71.05294430700073,0.0,34.61868599845312,19.969618930542676,0.0,0.0,0.0,693.6400000000004,315.2377911372471,127.66318487101769,0.0,0.0,0.0,27.694948798762496,6.923737199690624,0.0,0.0,19.969618930542676,71.05294430700073,88.86306226817733,0.0,15.551224331528946,274.0010008297041,0.0,-2.906784903962894,-7.339296499889321,-71.52969114712846,-1.6395148784297184,0.0,0.9285714285714286,100,25,44,0,8,8,0,0,0,40,25,44,25,0,8,8,8,-13.488000000000035,317.08399999999955,0,25,25,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GalGlcNAc2Man3GlcNAcFucGlcNAc_II,1782.78,Matsuura,12.638779580970429,-2.566216978460684,12.638779580970429,0.6994954223598404,0.02554545181129856,1625.4970000000021,1520.6650000000006,1624.5972572279977,642,0,0.187140229989245,-0.4967849155531694,0.4967849155531694,0.187140229989245,0.24324324324324326,0.5495495495495496,1.018018018018018,1.059643029352972,3000.512200862966,81.79625984470161,59.88867235690986,59.88867235690986,52.4270158975045,35.32975574728498,35.32975574728498,27.94916099072352,27.94916099072352,20.037570760450453,20.037570760450453,14.081548741407373,14.081548741407373,-3.7600000000000016,2.68603822699203e+30,91.1436528327583,39.66264814172816,20.338902134795525,628.6983435308053,223.50943727014075,213.39032133678919,80.20122194144734,0.0,0.0,0.0,0.0,19.969618930542676,0.0,0.0,0.0,6.923737199690624,27.694948798762496,58.95902210385164,223.50943727014075,23.590981377430445,0.0,0.0,19.969618930542676,310.7232142870077,52.85505571610334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.53333243762876,80.52667021460084,0.0,34.61868599845312,19.969618930542676,0.0,0.0,0.0,772.7900000000005,352.55056538208845,142.9827670555398,0.0,0.0,0.0,27.694948798762496,6.923737199690624,0.0,0.0,19.969618930542676,80.52667021460084,100.87993394124888,0.0,15.681086990979704,308.7070221219936,0.0,-3.077559369478866,-7.633351894672773,-83.31464491591844,-3.075820207485484,0.0,0.9354838709677419,111,28,49,0,9,9,0,0,0,45,28,49,28,0,9,9,9,-15.663800000000009,349.71740000000017,0,28,28,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
